pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,2,2,1,c,1,0.6473594999406487,None,,,,,1,2,2,2,260.8357205998618,,260.8226648999844,260.8357205998618,261.83660149993375,261.83660149993375,261.83660149993375,261.83660149993375,261.83660149993375,262.8346662998665,262.8346662998665,263.4892171998508,,,,,c,1,0.6473594999406487,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,3,3,0,z,1,0.4799091999884695,None,,,,,0,3,3,3,263.50287119997665,,263.4895655999426,263.50287119997665,264.502893100027,264.502893100027,264.502893100027,264.502893100027,264.502893100027,265.5024120998569,265.5024120998569,265.9898834999185,,,,,z,1,0.4799091999884695,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,4,4,1,x,1,0.4488305998966098,None,,,,,1,4,4,0,266.0026844998356,,265.9904741998762,266.0026844998356,267.0026844998356,267.0026844998356,267.0026844998356,267.0026844998356,267.0026844998356,268.0015783000272,268.0015783000272,268.45595059986226,,,,,x,1,0.4488305998966098,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,5,5,0,v,1,0.7307472999673337,None,,,,,0,5,5,1,268.4693589999806,,268.456298999954,268.4693589999806,269.4697252998594,269.4697252998594,269.4697252998594,269.4697252998594,269.4697252998594,270.4688218999654,270.4688218999654,271.2065556999296,,,,,v,1,0.7307472999673337,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,6,6,2,c,1,0.4385306001640856,None,,,,,2,6,6,2,271.2189139998518,,271.2069217998069,271.2189139998518,272.2200068999082,272.2200068999082,272.2200068999082,272.2200068999082,272.2200068999082,273.21887839981355,273.21887839981355,273.6729194999207,,,,,c,1,0.4385306001640856,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,7,7,1,v,1,0.8405411001294851,None,,,,,1,7,7,1,273.68542509991676,,273.67329859989695,273.68542509991676,274.68574749981053,274.68574749981053,274.68574749981053,274.68574749981053,274.68574749981053,275.68591979984194,275.68591979984194,276.5396575999912,,,,,v,1,0.8405411001294851,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,8,8,2,x,1,0.7121710998471826,None,,,,,2,8,8,0,276.5524665999692,,276.5400178998243,276.5524665999692,277.5526886000298,277.5526886000298,277.5526886000298,277.5526886000298,277.5526886000298,278.5523059000261,278.5523059000261,279.2717689999845,,,,,x,1,0.7121710998471826,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,9,9,3,c,1,0.6794755000155419,None,,,,,3,9,9,2,279.2854314998258,,279.2721486999653,279.2854314998258,280.2853095999453,280.2853095999453,280.2853095999453,280.2853095999453,280.2853095999453,281.2863592999056,281.2863592999056,281.9726286998484,,,,,c,1,0.6794755000155419,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,10,10,1,z,1,0.4941746999975294,None,,,,,1,10,10,3,281.98573619988747,,281.9731713999063,281.98573619988747,282.9855756999459,282.9855756999459,282.9855756999459,282.9855756999459,282.9855756999459,283.98483999981545,283.98483999981545,284.48930799984373,,,,,z,1,0.4941746999975294,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,11,11,2,z,1,0.6262268999125808,None,,,,,2,11,11,3,284.50238289986737,,284.4898469999898,284.50238289986737,285.5015970999375,285.5015970999375,285.5015970999375,285.5015970999375,285.5015970999375,286.5015571999829,286.5015571999829,287.1380545999855,,,,,z,1,0.6262268999125808,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
